Concepto turístico,Continente,CCAA de destino,Periodo,Año,Total
Pernoctaciones,Europa,Andalucía,2022M09,2022,6723412
Pernoctaciones,Europa,Andalucía,2022M08,2022,9745473
Pernoctaciones,Europa,Andalucía,2022M07,2022,8031742
Pernoctaciones,Europa,Andalucía,2022M06,2022,7065656
Pernoctaciones,Europa,Andalucía,2022M05,2022,7345779
Pernoctaciones,Europa,Andalucía,2022M04,2022,6556013
Pernoctaciones,Europa,Andalucía,2022M03,2022,5305185
Pernoctaciones,Europa,Andalucía,2022M02,2022,3899920
Pernoctaciones,Europa,Andalucía,2022M01,2022,4193291
Pernoctaciones,Europa,Andalucía,2021M12,2021,3496294
Pernoctaciones,Europa,Andalucía,2021M11,2021,4471500
Pernoctaciones,Europa,Andalucía,2021M10,2021,5643968
Pernoctaciones,Europa,Andalucía,2021M09,2021,5530259
Pernoctaciones,Europa,Andalucía,2021M08,2021,7083949
Pernoctaciones,Europa,Andalucía,2021M07,2021,4871467
Pernoctaciones,Europa,Andalucía,2021M06,2021,3086244
Pernoctaciones,Europa,Andalucía,2021M05,2021,2419586
Pernoctaciones,Europa,Andalucía,2021M04,2021,2123286
Pernoctaciones,Europa,Andalucía,2021M03,2021,1950322
Pernoctaciones,Europa,Andalucía,2021M02,2021,1664870
Pernoctaciones,Europa,Andalucía,2021M01,2021,1538956
Pernoctaciones,Europa,Andalucía,2020M12,2020,3121709
Pernoctaciones,Europa,Andalucía,2020M11,2020,2807805
Pernoctaciones,Europa,Andalucía,2020M10,2020,3710727
Pernoctaciones,Europa,Andalucía,2020M09,2020,3462296
Pernoctaciones,Europa,Andalucía,2020M08,2020,6046996
Pernoctaciones,Europa,Andalucía,2020M07,2020,3979004
Pernoctaciones,Europa,Andalucía,2020M06,2020,1349278
Pernoctaciones,Europa,Andalucía,2020M05,2020,1891530
Pernoctaciones,Europa,Andalucía,2020M04,2020,1826361
Pernoctaciones,Europa,Andalucía,2020M03,2020,5727970
Pernoctaciones,Europa,Andalucía,2020M02,2020,4770663
Pernoctaciones,Europa,Andalucía,2020M01,2020,5375572
Pernoctaciones,Europa,Andalucía,2019M12,2019,4699868
Pernoctaciones,Europa,Andalucía,2019M11,2019,5580627
Pernoctaciones,Europa,Andalucía,2019M10,2019,7894922
Pernoctaciones,Europa,Andalucía,2019M09,2019,8029757
Pernoctaciones,Europa,Andalucía,2019M08,2019,11856094
Pernoctaciones,Europa,Andalucía,2019M07,2019,7797416
Pernoctaciones,Europa,Aragón,2022M09,2022,513970
Pernoctaciones,Europa,Aragón,2022M08,2022,748355
Pernoctaciones,Europa,Aragón,2022M07,2022,683326
Pernoctaciones,Europa,Aragón,2022M06,2022,577007
Pernoctaciones,Europa,Aragón,2022M05,2022,604222
Pernoctaciones,Europa,Aragón,2022M04,2022,556719
Pernoctaciones,Europa,Aragón,2022M03,2022,522286
Pernoctaciones,Europa,Aragón,2022M02,2022,406376
Pernoctaciones,Europa,Aragón,2022M01,2022,475346
Pernoctaciones,Europa,Aragón,2021M12,2021,489233
Pernoctaciones,Europa,Aragón,2021M11,2021,476833
Pernoctaciones,Europa,Aragón,2021M10,2021,566682
Pernoctaciones,Europa,Aragón,2021M09,2021,574903
Pernoctaciones,Europa,Aragón,2021M08,2021,810261
Pernoctaciones,Europa,Aragón,2021M07,2021,605083
Pernoctaciones,Europa,Aragón,2021M06,2021,447321
Pernoctaciones,Europa,Aragón,2021M05,2021,379171
Pernoctaciones,Europa,Aragón,2021M04,2021,350380
Pernoctaciones,Europa,Aragón,2021M03,2021,357464
Pernoctaciones,Europa,Aragón,2021M02,2021,289838
Pernoctaciones,Europa,Aragón,2021M01,2021,243629
Pernoctaciones,Europa,Aragón,2020M12,2020,525330
Pernoctaciones,Europa,Aragón,2020M11,2020,421061
Pernoctaciones,Europa,Aragón,2020M10,2020,610870
Pernoctaciones,Europa,Aragón,2020M09,2020,510422
Pernoctaciones,Europa,Aragón,2020M08,2020,807013
Pernoctaciones,Europa,Aragón,2020M07,2020,630800
Pernoctaciones,Europa,Aragón,2020M06,2020,238517
Pernoctaciones,Europa,Aragón,2020M05,2020,278525
Pernoctaciones,Europa,Aragón,2020M04,2020,253485
Pernoctaciones,Europa,Aragón,2020M03,2020,655018
Pernoctaciones,Europa,Aragón,2020M02,2020,486693
Pernoctaciones,Europa,Aragón,2020M01,2020,581206
Pernoctaciones,Europa,Aragón,2019M12,2019,586701
Pernoctaciones,Europa,Aragón,2019M11,2019,570332
Pernoctaciones,Europa,Aragón,2019M10,2019,623815
Pernoctaciones,Europa,Aragón,2019M09,2019,581175
Pernoctaciones,Europa,Aragón,2019M08,2019,1096984
Pernoctaciones,Europa,Aragón,2019M07,2019,534276
Pernoctaciones,Europa,"Asturias, Principado de",2022M09,2022,330758
Pernoctaciones,Europa,"Asturias, Principado de",2022M08,2022,574083
Pernoctaciones,Europa,"Asturias, Principado de",2022M07,2022,386932
Pernoctaciones,Europa,"Asturias, Principado de",2022M06,2022,341469
Pernoctaciones,Europa,"Asturias, Principado de",2022M05,2022,303302
Pernoctaciones,Europa,"Asturias, Principado de",2022M04,2022,273512
Pernoctaciones,Europa,"Asturias, Principado de",2022M03,2022,263155
Pernoctaciones,Europa,"Asturias, Principado de",2022M02,2022,185457
Pernoctaciones,Europa,"Asturias, Principado de",2022M01,2022,256628
Pernoctaciones,Europa,"Asturias, Principado de",2021M12,2021,215574
Pernoctaciones,Europa,"Asturias, Principado de",2021M11,2021,210951
Pernoctaciones,Europa,"Asturias, Principado de",2021M10,2021,269762
Pernoctaciones,Europa,"Asturias, Principado de",2021M09,2021,328279
Pernoctaciones,Europa,"Asturias, Principado de",2021M08,2021,471430
Pernoctaciones,Europa,"Asturias, Principado de",2021M07,2021,287647
Pernoctaciones,Europa,"Asturias, Principado de",2021M06,2021,208957
Pernoctaciones,Europa,"Asturias, Principado de",2021M05,2021,152063
Pernoctaciones,Europa,"Asturias, Principado de",2021M04,2021,152331
Pernoctaciones,Europa,"Asturias, Principado de",2021M03,2021,142663
Pernoctaciones,Europa,"Asturias, Principado de",2021M02,2021,128684
Pernoctaciones,Europa,"Asturias, Principado de",2021M01,2021,116737
Pernoctaciones,Europa,"Asturias, Principado de",2020M12,2020,243262
Pernoctaciones,Europa,"Asturias, Principado de",2020M11,2020,207062
Pernoctaciones,Europa,"Asturias, Principado de",2020M10,2020,296277
Pernoctaciones,Europa,"Asturias, Principado de",2020M09,2020,276275
Pernoctaciones,Europa,"Asturias, Principado de",2020M08,2020,484664
Pernoctaciones,Europa,"Asturias, Principado de",2020M07,2020,314317
Pernoctaciones,Europa,"Asturias, Principado de",2020M06,2020,102978
Pernoctaciones,Europa,"Asturias, Principado de",2020M05,2020,138185
Pernoctaciones,Europa,"Asturias, Principado de",2020M04,2020,138544
Pernoctaciones,Europa,"Asturias, Principado de",2020M03,2020,304964
Pernoctaciones,Europa,"Asturias, Principado de",2020M02,2020,222308
Pernoctaciones,Europa,"Asturias, Principado de",2020M01,2020,308847
Pernoctaciones,Europa,"Asturias, Principado de",2019M12,2019,282803
Pernoctaciones,Europa,"Asturias, Principado de",2019M11,2019,257758
Pernoctaciones,Europa,"Asturias, Principado de",2019M10,2019,322535
Pernoctaciones,Europa,"Asturias, Principado de",2019M09,2019,370277
Pernoctaciones,Europa,"Asturias, Principado de",2019M08,2019,713022
Pernoctaciones,Europa,"Asturias, Principado de",2019M07,2019,289835
Pernoctaciones,Europa,"Balears, Illes",2022M09,2022,11928263
Pernoctaciones,Europa,"Balears, Illes",2022M08,2022,14273914
Pernoctaciones,Europa,"Balears, Illes",2022M07,2022,14432737
Pernoctaciones,Europa,"Balears, Illes",2022M06,2022,11946510
Pernoctaciones,Europa,"Balears, Illes",2022M05,2022,9254441
Pernoctaciones,Europa,"Balears, Illes",2022M04,2022,6403167
Pernoctaciones,Europa,"Balears, Illes",2022M03,2022,2042273
Pernoctaciones,Europa,"Balears, Illes",2022M02,2022,1089778
Pernoctaciones,Europa,"Balears, Illes",2022M01,2022,948399
Pernoctaciones,Europa,"Balears, Illes",2021M12,2021,714864
Pernoctaciones,Europa,"Balears, Illes",2021M11,2021,1447025
Pernoctaciones,Europa,"Balears, Illes",2021M10,2021,5508366
Pernoctaciones,Europa,"Balears, Illes",2021M09,2021,6094622
Pernoctaciones,Europa,"Balears, Illes",2021M08,2021,8314362
Pernoctaciones,Europa,"Balears, Illes",2021M07,2021,6625534
Pernoctaciones,Europa,"Balears, Illes",2021M06,2021,2882219
Pernoctaciones,Europa,"Balears, Illes",2021M05,2021,1638489
Pernoctaciones,Europa,"Balears, Illes",2021M04,2021,1079546
Pernoctaciones,Europa,"Balears, Illes",2021M03,2021,442408
Pernoctaciones,Europa,"Balears, Illes",2021M02,2021,327185
Pernoctaciones,Europa,"Balears, Illes",2021M01,2021,349270
Pernoctaciones,Europa,"Balears, Illes",2020M12,2020,747855
Pernoctaciones,Europa,"Balears, Illes",2020M11,2020,711003
Pernoctaciones,Europa,"Balears, Illes",2020M10,2020,1219226
Pernoctaciones,Europa,"Balears, Illes",2020M09,2020,1716987
Pernoctaciones,Europa,"Balears, Illes",2020M08,2020,4876180
Pernoctaciones,Europa,"Balears, Illes",2020M07,2020,2988780
Pernoctaciones,Europa,"Balears, Illes",2020M06,2020,293546
Pernoctaciones,Europa,"Balears, Illes",2020M05,2020,375636
Pernoctaciones,Europa,"Balears, Illes",2020M04,2020,341775
Pernoctaciones,Europa,"Balears, Illes",2020M03,2020,1413541
Pernoctaciones,Europa,"Balears, Illes",2020M02,2020,1148201
Pernoctaciones,Europa,"Balears, Illes",2020M01,2020,1191277
Pernoctaciones,Europa,"Balears, Illes",2019M12,2019,1015183
Pernoctaciones,Europa,"Balears, Illes",2019M11,2019,1699102
